inspection_service-1        | INFO:     172.18.0.1:48146 - "GET /db/health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:48144 - "GET /db/health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:39790 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:59794 - "GET /camera/stats HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:59794 - "GET /camera/stats HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:39804 - "GET /db/health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:40968 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:40980 - "GET /db/health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:36906 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:36908 - "GET /db/health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:59870 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:59870 - "GET /db/health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:42142 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:42154 - "GET /db/health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:54856 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:54856 - "GET /db/health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:40318 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:40326 - "GET /db/health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:38738 - "GET /health HTTP/1.1" 200 OK
inspection_service-1        | INFO:     172.18.0.1:38740 - "GET /db/health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:59794 - "GET /camera/stats HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:59794 - "GET /camera/stats HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:59794 - "GET /camera/stats HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:59794 - "POST /camera/stop HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     connection closed
stream_ingestion_service-1  | INFO:     172.18.0.1:59794 - "GET /camera/stats HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:59794 - "GET /camera/stats HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:59794 - "GET /camera/stats HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:59794 - "GET /camera/stats HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:59794 - "GET /camera/stats HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:59794 - "GET /camera/stats HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:59794 - "GET /camera/stats HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:51378 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:51384 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:33716 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:39146 - "GET /health HTTP/1.1" 200 OK
verification_service-1      | INFO:     172.18.0.1:43518 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:49722 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:49732 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:41346 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:46738 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:34712 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:33440 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:42242 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:39228 - "GET /health HTTP/1.1" 200 OK
stream_ingestion_service-1  | INFO:     172.18.0.1:38604 - "GET /health HTTP/1.1" 200 OK
